,SNO,team_id,team_number,team_name,project_title,domain,problem_specificity,solution_problem_fit,technical_clarity,domain_depth,ppt_total,implementation_authenticity,stack_alignment,core_feature_presence,code_intentionality,github_total,overall_total,github_submitted,reconciliation_flagged,domain_rank,cohort_pct_ppt,cohort_pct_github,cohort_pct_overall,Video + Prototype (5),selected,relative_overall,relative_rank
,64,team_505,505,Spark,,healthcare,4,4,4,4,16,5,2,4,4,15,31,True,False,,8.6,44.2,75.1,,,,
,65,team_535,535,Grand Prix,,healthcare,4,4,4,4,16,4,3,4,4,15,31,True,False,,8.6,44.2,75.1,,,,
,66,team_237,237,Griffin Squad,,healthcare,4,4,2,4,14,4,3,5,4,16,30,True,False,33,1.2,49,74.3,,,,
,67,team_529,529,Bitzapp,,healthcare,5,5,5,5,20,3,2,2,3,10,30,True,False,,70.8,31.7,74.3,,,,
,68,team_259,259,CodeCult,,healthcare,4,4,4,4,16,4,1,4,4,13,29,True,False,34,8.6,35.6,73.5,,,,
,69,team_451,451,BLACK BULLS,,healthcare,5,5,5,5,20,2,2,1,4,9,29,True,False,,70.8,28.8,73.5,,,,
,70,team_149,149,SamadhanBandhu,,healthcare,0,4,4,4,12,5,3,3,5,16,28,True,False,37,0,49,72,,,,
,71,team_319,319,Neural Nexus,,healthcare,5,5,4,5,19,1,3,2,3,9,28,True,False,37,37,28.8,72,,,,
,72,team_265,265,TRICKY TECHIES,,healthcare,5,5,4,5,19,4,2,1,2,9,28,True,False,,37,28.8,72,,,,
,73,team_544,544,Cura Coders,,healthcare,5,5,4,4,18,2,3,2,3,10,28,True,False,,22.2,31.7,72,,,,
,74,team_611,611,Logic Legends,,healthcare,4,4,4,4,16,3,1,3,4,11,27,True,False,,8.6,34.6,71.6,,,,
,75,team_082,82,Star,,healthcare,4,4,3,4,15,4,1,1,4,10,25,True,False,40,4.3,31.7,70,,,,
,76,team_094,94,Brainy Bytes,,healthcare,5,5,4,5,19,5,0,0,1,6,25,True,False,40,37,26,70,,,,
,77,team_221,221,TrioTech,,healthcare,5,5,5,5,20,0,0,1,4,5,25,True,False,,70.8,25,70,,,,
,78,team_443,443,InnovateX,,healthcare,5,5,4,4,18,2,1,3,1,7,25,True,False,,22.2,27.9,70,,,,
,79,team_497,497,MediGuardian,,healthcare,5,5,4,4,18,2,1,0,3,6,24,True,False,,22.2,26,69.6,,,,
,80,team_024,24,Archives,,healthcare,5,5,4,5,19,0,2,0,0,2,21,True,False,42,37,21.2,68.9,,,,
,81,team_220,220,BlackSquad,,healthcare,4,5,4,4,17,1,1,1,1,4,21,True,False,42,15.6,24,68.9,,,,
,82,team_028,28,TEAM_Cipher,,healthcare,5,5,5,5,20,0,0,0,0,0,20,True,False,44,70.8,0,46.7,,,,
,83,team_029,29,Baka Boyz,,healthcare,5,5,5,5,20,,,,,,20,False,False,44,70.8,,46.7,,,,
,84,team_051,51,Spectra,,healthcare,5,5,5,5,20,,,,,,20,False,False,44,70.8,,46.7,,,,
,85,team_060,60,Apex OR,,healthcare,5,5,5,5,20,,,,,,20,False,False,44,70.8,,46.7,,,,
,86,team_065,65,Novaspire,,healthcare,5,5,5,5,20,,,,,,20,False,False,44,70.8,,46.7,,,,
,87,team_087,87,TEAM SAT,,healthcare,5,5,5,5,20,,,,,,20,False,False,44,70.8,,46.7,,,,
,88,team_096,96,FAST AND CURIOUS,,healthcare,5,5,5,5,20,,,,,,20,False,False,44,70.8,,46.7,,,,
,89,team_106,106,Quadraminds,,healthcare,5,5,5,5,20,,,,,,20,False,False,44,70.8,,46.7,,,,
,90,team_114,114,Care Coders,,healthcare,5,5,5,5,20,,,,,,20,False,False,44,70.8,,46.7,,,,
,91,team_120,120,Unknown,,healthcare,5,5,5,5,20,,,,,,20,False,False,44,70.8,,46.7,,,,
,92,team_172,172,Syntax Terror,,healthcare,5,5,5,5,20,0,0,0,0,0,20,True,False,44,70.8,0,46.7,,,,
,93,team_142,142,Tech Lifelines,,healthcare,5,5,5,5,20,,,,,,20,False,False,,70.8,,46.7,,,,
,94,team_162,162,CuraMind AI,,healthcare,5,5,5,5,20,,,,,,20,False,False,,70.8,,46.7,,,,
,95,team_171,171,SYNAPSE-3D,,healthcare,5,5,5,5,20,,,,,,20,False,False,,70.8,,46.7,,,,
,96,team_191,191,TremorAegis,,healthcare,5,5,5,5,20,,,,,,20,False,False,,70.8,,46.7,,,,
,97,team_208,208,The Quad-Core Creators,,healthcare,5,5,5,5,20,,,,,,20,False,False,,70.8,,46.7,,,,
,98,team_227,227,Strivers,,healthcare,5,5,5,5,20,,,,,,20,False,False,,70.8,,46.7,,,,
,99,team_246,246,DVD (Distant Visionary Developers),,healthcare,5,5,5,5,20,,,,,,20,False,False,,70.8,,46.7,,,,
,100,team_248,248,Peace,,healthcare,5,5,5,5,20,,,,,,20,False,False,,70.8,,46.7,,,,
,101,team_260,260,SeasonerS,,healthcare,5,5,5,5,20,,,,,,20,False,False,,70.8,,46.7,,,,
,102,team_271,271,fontediaz,,healthcare,5,5,5,5,20,,,,,,20,False,False,,70.8,,46.7,,,,
,103,team_277,277,ByteHealers,,healthcare,5,5,5,5,20,,,,,,20,False,False,,70.8,,46.7,,,,
,104,team_283,283,Kernel Crew,,healthcare,5,5,5,5,20,,,,,,20,False,False,,70.8,,46.7,,,,
,105,team_299,299,Healing Souls,,healthcare,5,5,5,5,20,,,,,,20,False,False,,70.8,,46.7,,,,
,106,team_300,300,404 ERROR,,healthcare,5,5,5,5,20,,,,,,20,False,False,,70.8,,46.7,,,,
,107,team_323,323,WizTek,,healthcare,5,5,5,5,20,,,,,,20,False,False,,70.8,,46.7,,,,
,108,team_363,363,MediMind,,healthcare,5,5,5,5,20,,,,,,20,False,False,,70.8,,46.7,,,,
,109,team_376,376,CODHERS,,healthcare,5,5,5,5,20,,,,,,20,False,False,,70.8,,46.7,,,,
,110,team_380,380,CyberCrew,,healthcare,5,5,5,5,20,,,,,,20,False,False,,70.8,,46.7,,,,
,111,team_035,35,Code Red,,healthcare,5,5,5,5,20,,,,,,20,False,False,,70.8,,46.7,,,,
,112,team_139,139,Permit pro,,healthcare,5,5,4,5,19,0,1,0,0,1,20,True,False,,37,16.3,46.7,,,,
,113,team_147,147,Team Conclusion,,healthcare,5,5,5,5,20,,,,,,20,False,False,,70.8,,46.7,,,,
,114,team_179,179,TEAM MEDBUD,,healthcare,5,5,5,5,20,,,,,,20,False,False,,70.8,,46.7,,,,
,115,team_235,235,Team Triage,,healthcare,5,5,4,5,19,0,1,0,0,1,20,True,False,,37,16.3,46.7,,,,
,116,team_257,257,Syntax Squad,,healthcare,5,5,5,5,20,,,,,,20,False,False,,70.8,,46.7,,,,
,117,team_354,354,WebNova,,healthcare,5,5,5,5,20,0,0,0,0,0,20,True,False,,70.8,0,46.7,,,,
,118,team_413,413,Medura,,healthcare,5,5,5,5,20,,,,,,20,False,False,,70.8,,46.7,,,,
,119,team_415,415,Mugavari,,healthcare,5,5,5,5,20,,,,,,20,False,False,,70.8,,46.7,,,,
,120,team_421,421,yakuza,,healthcare,5,5,5,5,20,,,,,,20,False,False,,70.8,,46.7,,,,
,121,team_430,430,CodeCatalysts,,healthcare,5,5,5,5,20,,,,,,20,False,False,,70.8,,46.7,,,,
,122,team_431,431,DeepLogic,,healthcare,5,5,5,5,20,,,,,,20,False,False,,70.8,,46.7,,,,
,123,team_436,436,InnoVision,,healthcare,5,5,5,5,20,,,,,,20,False,False,,70.8,,46.7,,,,
,124,team_444,444,Avengers7,,healthcare,5,5,5,5,20,,,,,,20,False,False,,70.8,,46.7,,,,
,125,team_445,445,WALKOUTS,,healthcare,5,5,5,5,20,0,0,0,0,0,20,True,False,,70.8,0,46.7,,,,
,126,team_452,452,HealthHackers,,healthcare,5,5,5,5,20,,,,,,20,False,False,,70.8,,46.7,,,,
,127,team_456,456,Messiah,,healthcare,5,5,5,5,20,,,,,,20,False,False,,70.8,,46.7,,,,
,128,team_458,458,Medura,,healthcare,5,5,5,5,20,,,,,,20,False,False,,70.8,,46.7,,,,
,129,team_481,481,Team Spark,,healthcare,5,5,5,5,20,,,,,,20,False,False,,70.8,,46.7,,,,
,130,team_504,504,DRONAI,,healthcare,5,5,5,5,20,,,,,,20,False,False,,70.8,,46.7,,,,
,131,team_512,512,Hack4health,,healthcare,5,5,5,5,20,,,,,,20,False,False,,70.8,,46.7,,,,
,132,team_514,514,Neural Ninjas,,healthcare,5,5,5,5,20,,,,,,20,False,False,,70.8,,46.7,,,,
,133,team_543,543,Synapse Squad,,healthcare,5,5,5,5,20,,,,,,20,False,False,,70.8,,46.7,,,,
,134,team_582,582,SYNS,,healthcare,5,5,5,5,20,0,0,0,0,0,20,True,False,,70.8,0,46.7,,,,
,135,team_600,600,Techops,,healthcare,5,5,5,4,19,0,1,0,0,1,20,True,False,,37,16.3,46.7,,,,
,136,team_625,625,No Way,,healthcare,5,5,5,5,20,,,,,,20,False,False,,70.8,,46.7,,,,
,137,team_626,626,Dobu Warriors,,healthcare,5,5,5,5,20,,,,,,20,False,False,,70.8,,46.7,,,,
,138,team_646,646,Mr UnEmP,,healthcare,5,5,5,5,20,,,,,,20,False,False,,70.8,,46.7,,,,
,139,team_008,8,Embedded Elites,,healthcare,5,5,4,5,19,,,,,,19,False,False,56,37,,24.5,,,,
,140,team_030,30,Code Blue,,healthcare,5,5,4,5,19,,,,,,19,False,False,56,37,,24.5,,,,
,141,team_034,34,Black caps,,healthcare,5,5,4,5,19,0,0,0,0,0,19,True,False,56,37,0,24.5,,,,
,142,team_041,41,TEAM KTR,,healthcare,5,5,5,4,19,,,,,,19,False,False,56,37,,24.5,,,,
,143,team_064,64,hackvok,,healthcare,5,5,4,5,19,,,,,,19,False,False,56,37,,24.5,,,,
,144,team_080,80,Code Surgeons,,healthcare,5,5,5,4,19,0,0,0,0,0,19,True,False,56,37,0,24.5,,,,
,145,team_093,93,Tri-Tech,,healthcare,5,5,4,5,19,,,,,,19,False,False,56,37,,24.5,,,,
,146,team_101,101,ctrl+alt+win,,healthcare,5,5,4,5,19,,,,,,19,False,False,56,37,,24.5,,,,
,147,team_103,103,JREX,,healthcare,5,5,5,4,19,,,,,,19,False,False,56,37,,24.5,,,,
,148,team_001,1,4 wonders,,healthcare,5,5,5,4,19,,,,,,19,False,False,56,37,,24.5,,,,
,149,team_231,231,SAINCE,,healthcare,5,5,4,5,19,0,0,0,0,0,19,True,False,56,37,0,24.5,,,,
,150,team_245,245,Meta,,healthcare,4,4,4,4,16,1,1,0,1,3,19,True,False,56,8.6,22.1,24.5,,,,
,151,team_124,124,CTRL SHIFT R,,healthcare,5,5,4,5,19,,,,,,19,False,False,,37,,24.5,,,,
,152,team_130,130,Sneakers,,healthcare,5,5,4,5,19,,,,,,19,False,False,,37,,24.5,,,,
,153,team_132,132,Prodesk,,healthcare,5,5,5,4,19,,,,,,19,False,False,,37,,24.5,,,,
,154,team_144,144,QuasarCore,,healthcare,5,5,4,5,19,,,,,,19,False,False,,37,,24.5,,,,
,155,team_176,176,Nova 4,,healthcare,5,5,4,5,19,,,,,,19,False,False,,37,,24.5,,,,
,156,team_178,178,Fantastic Four,,healthcare,5,5,5,4,19,,,,,,19,False,False,,37,,24.5,,,,
,157,team_198,198,MED HEADS,,healthcare,4,4,4,4,16,1,0,1,1,3,19,True,False,,8.6,22.1,24.5,,,,
,158,team_204,204,Neurogurdians,,healthcare,5,5,5,4,19,,,,,,19,False,False,,37,,24.5,,,,
,159,team_215,215,Elevate,,healthcare,5,5,4,5,19,,,,,,19,False,False,,37,,24.5,,,,
,160,team_223,223,DRIFT DESIGNERS,,healthcare,5,5,4,5,19,,,,,,19,False,False,,37,,24.5,,,,
,161,team_226,226,INNOVATORS,,healthcare,5,5,5,4,19,,,,,,19,False,False,,37,,24.5,,,,
,162,team_232,232,Healix,,healthcare,5,5,4,5,19,,,,,,19,False,False,,37,,24.5,,,,
,163,team_247,247,ErrorXception,,healthcare,5,5,4,5,19,,,,,,19,False,False,,37,,24.5,,,,
,164,team_275,275,Artemis,,healthcare,5,5,5,4,19,,,,,,19,False,False,,37,,24.5,,,,
,165,team_288,288,FOCUSYNC,,healthcare,5,5,5,4,19,,,,,,19,False,False,,37,,24.5,,,,
,166,team_307,307,AutoBots,,healthcare,5,5,4,5,19,,,,,,19,False,False,,37,,24.5,,,,
,167,team_308,308,CodeX,,healthcare,5,5,4,5,19,,,,,,19,False,False,,37,,24.5,,,,
,168,team_313,313,Zencoders,,healthcare,5,5,5,4,19,,,,,,19,False,False,,37,,24.5,,,,
,169,team_315,315,DEV DYNAMOS,,healthcare,5,5,4,5,19,,,,,,19,False,False,,37,,24.5,,,,
,170,team_332,332,HACKX,,healthcare,5,5,4,5,19,0,0,0,0,0,19,True,False,,37,0,24.5,,,,
,171,team_369,369,ALPZET MATRIX,,healthcare,5,5,5,4,19,0,0,0,0,0,19,True,False,,37,0,24.5,,,,
,172,team_372,372,Jinx,,healthcare,5,5,4,5,19,,,,,,19,False,False,,37,,24.5,,,,
,173,team_015,15,Team Sparatanz,,healthcare,5,5,4,5,19,,,,,,19,False,False,,37,,24.5,,,,
,174,team_173,173,Team 173,,healthcare,5,5,4,5,19,,,,,,19,False,False,,37,,24.5,,,,
,175,team_365,365,Agnetos,,healthcare,5,5,4,5,19,,,,,,19,False,False,,37,,24.5,,,,
,176,team_387,387,NEUROFLUX,,healthcare,5,5,4,5,19,,,,,,19,False,False,,37,,24.5,,,,
,177,team_392,392,Team Triage,,healthcare,5,5,4,5,19,,,,,,19,False,False,,37,,24.5,,,,
,178,team_469,469,Tech care,,healthcare,5,5,4,5,19,,,,,,19,False,False,,37,,24.5,,,,
,179,team_471,471,BLUESKY INNOVATORS,,healthcare,5,5,5,4,19,,,,,,19,False,False,,37,,24.5,,,,
,180,team_483,483,Mind Flayers,,healthcare,5,5,4,5,19,,,,,,19,False,False,,37,,24.5,,,,
,181,team_488,488,Gradient Thinkers,,healthcare,4,5,5,5,19,,,,,,19,False,False,,37,,24.5,,,,
,182,team_516,516,RoadSOS Team,,healthcare,5,5,4,5,19,,,,,,19,False,False,,37,,24.5,,,,
,183,team_526,526,Error Maker’s,,healthcare,5,5,4,5,19,,,,,,19,False,False,,37,,24.5,,,,
,184,team_532,532,CODEXUS,,healthcare,5,5,4,5,19,,,,,,19,False,False,,37,,24.5,,,,
,185,team_555,555,SEC Sharks,,healthcare,5,5,5,4,19,,,,,,19,False,False,,37,,24.5,,,,
,186,team_559,559,Team Platypus,,healthcare,5,5,4,5,19,,,,,,19,False,False,,37,,24.5,,,,
,187,team_568,568,CHIP2CLOUD,,healthcare,5,5,4,5,19,,,,,,19,False,False,,37,,24.5,,,,
,188,team_569,569,Sentinel Coders,,healthcare,5,5,4,5,19,,,,,,19,False,False,,37,,24.5,,,,
,189,team_574,574,Dualis,,healthcare,5,5,5,4,19,,,,,,19,False,False,,37,,24.5,,,,
,190,team_584,584,Code Crackers,,healthcare,5,5,5,4,19,0,0,0,0,0,19,True,False,,37,0,24.5,,,,
,191,team_598,598,Girlsorithm,,healthcare,5,5,5,4,19,,,,,,19,False,False,,37,,24.5,,,,
,192,team_610,610,Syntax Survey Corps,,healthcare,5,5,5,4,19,,,,,,19,False,False,,37,,24.5,,,,
,193,team_613,613,ResQX,,healthcare,5,5,4,4,18,0,1,0,0,1,19,True,False,,22.2,16.3,24.5,,,,
,194,team_619,619,4raws,,healthcare,5,5,5,4,19,,,,,,19,False,False,,37,,24.5,,,,
,195,team_644,644,Logic Lord,,healthcare,5,5,5,4,19,,,,,,19,False,False,,37,,24.5,,,,
,196,team_009,9,Pulse Patrol,,healthcare,5,5,4,4,18,,,,,,18,False,False,72,22.2,,15.2,,,,
,197,team_012,12,TEAM HUSTLERS,,healthcare,5,5,4,4,18,,,,,,18,False,False,72,22.2,,15.2,,,,
,198,team_017,17,BioBots,,healthcare,5,5,4,4,18,,,,,,18,False,False,72,22.2,,15.2,,,,
,199,team_025,25,TITANZ,,healthcare,5,5,4,4,18,,,,,,18,False,False,72,22.2,,15.2,,,,
,200,team_088,88,CyberPhantom,,healthcare,5,5,3,5,18,,,,,,18,False,False,72,22.2,,15.2,,,,
,201,team_170,170,Brocoderzz,,healthcare,5,5,3,5,18,0,0,0,0,0,18,True,False,72,22.2,0,15.2,,,,
,202,team_150,150,CodeX,,healthcare,5,5,4,4,18,0,0,0,0,0,18,True,False,,22.2,0,15.2,,,,
,203,team_164,164,Hackathon Hackers,,healthcare,5,5,4,4,18,,,,,,18,False,False,,22.2,,15.2,,,,
,204,team_185,185,Coding Bad,,healthcare,4,5,5,4,18,,,,,,18,False,False,,22.2,,15.2,,,,
,205,team_209,209,CTRL FREAKS,,healthcare,5,4,5,4,18,,,,,,18,False,False,,22.2,,15.2,,,,
,206,team_264,264,SolTech,,healthcare,4,5,5,4,18,,,,,,18,False,False,,22.2,,15.2,,,,
,207,team_278,278,HackDrifters,,healthcare,5,5,3,5,18,,,,,,18,False,False,,22.2,,15.2,,,,
,208,team_295,295,Node Knights,,healthcare,4,5,5,4,18,,,,,,18,False,False,,22.2,,15.2,,,,
,209,team_298,298,Bob the Builders,,healthcare,5,5,4,4,18,,,,,,18,False,False,,22.2,,15.2,,,,
,210,team_353,353,Stratum,,healthcare,5,5,3,5,18,,,,,,18,False,False,,22.2,,15.2,,,,
,211,team_155,155,Obsidian Codex,,healthcare,5,5,3,5,18,,,,,,18,False,False,,22.2,,15.2,,,,
,212,team_335,335,Nexora,,healthcare,5,5,4,4,18,,,,,,18,False,False,,22.2,,15.2,,,,
,213,team_391,391,CodeByte,,healthcare,5,5,3,5,18,,,,,,18,False,False,,22.2,,15.2,,,,
,214,team_407,407,DOMINATORZZ,,healthcare,5,5,4,4,18,,,,,,18,False,False,,22.2,,15.2,,,,
,215,team_468,468,Girlsorithm,,healthcare,5,5,4,4,18,,,,,,18,False,False,,22.2,,15.2,,,,
,216,team_473,473,Tech Busters,,healthcare,5,5,3,5,18,,,,,,18,False,False,,22.2,,15.2,,,,
,217,team_540,540,404: brain not found,,healthcare,5,5,4,4,18,,,,,,18,False,False,,22.2,,15.2,,,,
,218,team_549,549,Health Hustlers,,healthcare,5,5,4,4,18,,,,,,18,False,False,,22.2,,15.2,,,,
,219,team_551,551,cardioforge,,healthcare,5,5,4,4,18,,,,,,18,False,False,,22.2,,15.2,,,,
,220,team_073,73,CodeMedix,,healthcare,4,5,4,4,17,,,,,,17,False,False,79,15.6,,10.1,,,,
,221,team_192,192,Nexora,,healthcare,4,5,4,4,17,,,,,,17,False,False,,15.6,,10.1,,,,
,222,team_218,218,Code warriors,,healthcare,4,5,4,4,17,,,,,,17,False,False,,15.6,,10.1,,,,
,223,team_243,243,TRISQUAD,,healthcare,5,5,2,5,17,,,,,,17,False,False,,15.6,,10.1,,,,
,224,team_263,263,Huntrixx,,healthcare,4,5,4,4,17,,,,,,17,False,False,,15.6,,10.1,,,,
,225,team_267,267,KINGS OF PROMPTS,,healthcare,4,5,4,4,17,,,,,,17,False,False,,15.6,,10.1,,,,
,226,team_297,297,MaaMind,,healthcare,4,5,4,4,17,,,,,,17,False,False,,15.6,,10.1,,,,
